Timestamp;RF Frequency;Polarisations;Pulse Widths;PRI;Number of PRIs;Scene Description
19_9_5_12_6_32;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
19_9_5_12_45_57;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_12_59_45;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_0_39;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_17_22;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_18_51;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_22_43;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_24_34;[1300.0];[1];[5.0];[1001.0];60000;No Notes. Change in text file if necessary.
19_9_5_13_27_48;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
19_9_5_13_51_42;[1300.0];[1];[5.0];[10001.0];120000;No Notes. Change in text file if necessary.
19_11_21_11_47_4;[1300.0];[1];[5.0];[10001.0];120000;Tests;No Notes. Change in text file if necessary.
19_11_21_11_52_13;[1300.0];[1];[5.0];[10001.0];120000;Tests;No Notes. Change in text file if necessary.
